Cuestionario,Pregunta,Respuesta
DERECHO ARBITRAL,¿Cuál es la Función del tercero involucrado en un arbitraje?,"No es un simple comunicador que acerca a las partes y que les propone una o varias soluciones, ahora él emite una resolución que goza de carácter obligatorio. Sin embargo, para que el arbitraje pueda funcionar es necesario que previamente las partes hayan aceptado, de común acuerdo, someterse a este medio de solución."
DERECHO ARBITRAL,"¿Como El Título IV del Código de Comercio, define el arbitraje?",Es el procedimiento arbitral de carácter comercial con independencia de que sea o no una institución arbitral permanente ante la que se lleve a cabo.
DERECHO ARBITRAL,¿Cuáles son presupuestos que son parte fundamental para que el arbitraje pueda llevarse a cabo para resolver una controversia?,Existencia de un contrato - Incluir dentro del mismo la Cláusula compromisoria - Compromiso arbitral - Contrato arbitral o contrato de arbitraje.
DERECHO ARBITRAL,Concepto de Cláusula compromisoria:,Es un apartado dentro del contrato en virtud del cual las partes estipulan que en caso de surgir una contienda jurídica entre ellas se someterán para su arreglo a un arbitraje.
DERECHO ARBITRAL,Concepto de Compromiso Arbitral:,"Es el acuerdo pactado entre las partes, una vez que ya se suscitó una controversia jurídica entre ellos, para que su lid sea dirimida en el porvenir por medio del arbitraje es decir, el compromiso se conviene después de planteado el pleito actual."
DERECHO ARBITRAL,Concepto de Contrato Arbitral:,"Es definido como el acuerdo de voluntades entre los contendientes y el árbitro designado, en el que se consignan las obligaciones y derechos de los árbitros en relación con las partes, así como el plazo para resolver, los honorarios a cubrir, entre otros."
DERECHO ARBITRAL,¿Cuáles son tres campos del Arbitraje Comercial?,Arbitraje Comercial Nacional - Arbitraje Comercial Regional - Arbitraje Comercial Internacional.
DERECHO ARBITRAL,¿Cuál es el marco jurídico que regula al arbitraje?,Constitución Política de los Estados Unidos Mexicanos - Los Tratados Internacionales suscritos por México - El Código de Comercio - El Código Federal de Procedimientos Civiles (supletorio) - Las Leyes particulares (especiales) que versen sobre una materia específica de comercio o mercantiles.
DERECHO ARBITRAL,Concepto de Acuerdo de arbitraje.,"Es el acuerdo que las partes deciden someter sus controversias derivadas de una relación jurídica, contractual o no. Pueden adoptar la forma de una cláusula compromisoria incluida en un contrato o la forma de un acuerdo independiente."
DERECHO ARBITRAL,Concepto de Costas.,"Los honorarios del tribunal arbitral los gastos de viaje y demás expensas realizadas por los árbitros costo de la asesoría pericial o de cualquier otra asistencia requerida por el tribunal arbitral gastos de viaje y otras expensas realizadas por los testigos, entre otros, siempre que sean aprobados por el tribunal arbitral."
DERECHO ARBITRAL,¿Que se entiende por Derecho de Impugnar?,"Se entiende renunciado este derecho si una parte prosigue el arbitraje sabiendo que no se ha cumplido alguna disposición de las normas contenidas en el Código de Comercio, Título IV, del que pueda apartarse, o se haya dejado de cumplir algún requisito del acuerdo de arbitraje."
DERECHO ARBITRAL,¿A qué se refiere la Competencia del Tribunal Arbitral?,"El Tribunal Arbitral estará facultado para decidir sobre su propia competencia, incluso sobre las excepciones relativas a la existencia o validez del acuerdo de arbitraje. La decisión de un tribunal arbitral declarando nulo un contrato, no entrañará por ese solo hecho la nulidad de la cláusula compromisoria."
DERECHO ARBITRAL,¿Las partes del procedimiento arbitral gozaran de?,Igualdad - Plena oportunidad para hacer valer sus derechos - Libertad para convenir el procedimiento a que se haya de ajustar el Tribunal Arbitral en sus actuaciones - Libertad para determinar el lugar del arbitraje - Determinar el idioma - El inicio de las actuaciones arbitrales.
DERECHO ARBITRAL,En el caso de no haber acuerdo de las partes el Tribunal Arbitral que sucederá?,"Determinará el lugar del arbitraje, atendiendo las circunstancias del caso, inclusive las conveniencias de las partes - Podrá, salvo acuerdo en contrario de las partes, reunirse en cualquier lugar que estime apropiado para celebrar deliberaciones entre sus miembros, oír a las partes, a los testigos, o a los peritos, o para examinar mercancías u otros bienes o documentos - Determinar la admisibilidad, pertinencia y valor de las pruebas - Determinar el inicio de las actuaciones arbitrales, en la fecha en que el demandado haya recibido el requerimiento de someter esa controversia al arbitraje - A falta de tal acuerdo, el tribunal arbitral determinará el o los idiomas que hayan de emplearse en las actuaciones podrá ordenar que cualquier prueba documental vaya acompañada de una traducción a uno de los idiomas convenidos por las partes o determinados por el tribunal arbitral."
DERECHO ARBITRAL,¿A qué se refiere Pronunciamiento del Laudo y Terminación de las Actuaciones del Tribunal Arbitral?,"Es cuando el Tribunal Arbitral decide sobre el litigio de conformidad con las normas de derecho elegidas por las partes, entendiendo que toda indicación del derecho u ordenamiento jurídico de un país determinado se refiere, a menos que se exprese lo contrario, al derecho sustantivo de ese país y no a sus normas de conflicto de leyes."
DERECHO ARBITRAL,¿A cuales convenciones México se ha adherido y están en vigor?,"La Convención de Naciones Unidas suscrita en Nueva York en 1958, sobre Reconocimiento y Ejecución de Sentencias Arbitrales Extranjeras - La Convención Interamericana en Panamá, 1975, sobre Arbitraje Comercial Internacional - La Convención Interamericana sobre Eficacia Extraterritorial de las Sentencias y Laudos Arbitrales Extranjeros, suscrita en Montevideo en 1979 - La Ley Modelo de Naciones Unidas para el Arbitraje Mercantil Internacional, CNUDMI (UNCITRAL) 1985 - El Convenio sobre Reconocimiento y Ejecución de Sentencias Judiciales y Laudos Arbitrales en Materia Civil y Mercantil, México-España 1989 - El Tratado de Libre Comercio de América del Norte: México Estados Unidos-Canadá, que concretamente en su artículo 2022 señala: estimularán y facilitarán el uso del arbitraje y de otros medios alternativos en la resolución de controversias comerciales internacionales entre partes de naturaleza privada."
DERECHO ARBITRAL,¿Cuál es El marco jurídico del Arbitraje en el Merco Sur?,"Protocolo de Brasilia para la solución de controversias, 1991 - Acuerdo sobre Arbitraje Comercial en el MERCOSUR, 1998 - Acuerdo sobre Arbitraje Internacional entre MERCOSUR y las Repúblicas de Chile y Bolivia, 1998 - Protocolo de Olivos para la Solución de Controversias, Tribunal Permanente de Revisión, 2002 - Tribunal Internacional de Conciliación y Arbitraje del MERCO SUR, TICAMER - Corte de Arbitraje Internacional para el MERCOSUR - Laudos Arbitrales - Centro de Arbitraje de Chile, 1992 - Cámara de Arbitraje de Brasil, 1995 - Centro de Arbitraje de Uruguay - Cámara de Arbitraje de Paraguay, 1996."
DERECHO ARBITRAL,Mencione las convenciones Internacionales sobre Arbitraje y Mediación,"Convención de Nueva York, sobre Reconocimiento y Ejecución de Laudos Arbitrales Extranjeras, 1958 - Convención Interamericana Sobre Arbitraje Comercial Internacional, Convención de Panamá, 1975 - Convención Interamericana Sobre Eficacia Extraterritorial de las Sentencias y Laudos Arbitrales Extranjeros o Convención de Montevideo, 1979 (CIDIP II) - Ley Modelo de las Naciones Unidas para el Arbitraje Mercantil Internacional, 1985 (CNUDMI/UNCITRAL) - Convenio sobre Reconocimiento y Ejecución de Sentencias Judiciales y Laudos Arbitrales en Materia Civil y Mercantil, México-España 1989 - Ley Modelo sobre Conciliación Comercial Internacional, CNUDMI/UNCITRAL, 2002 - Notas de la CNUDMI sobre Organización del Proceso Arbitral, 1996 - Reglamento de Conciliación de CNUDMI, 1980 - Reglamento de Arbitraje de la CNUDMI, 1976 - Entendimiento de la OMC para solución de Controversias - Reglamento de Arbitraje de la OMPI, 2002 - Reglamento de Mediación de la OMPI, 2002 - Convenio sobre arreglo de diferencias relativas a inversiones CIADI, 1966."
DERECHO ARBITRAL,¿Cuale son Organismos internacionales de arbitraje?,"Corte permanente de arbitraje, La Haya, 1899 - Organización Mundial del Comercio, página solución de controversias, OMC, 1994 - Corte Internacional de Arbitraje, CCI, 1999 - Centro Internacional para la Resolución de Disputas relativas a Inversiones, Banco Mundial, CIADI, 1966 - Tribunal Permanente de Arbitraje, 1907 - Corte Europea de Arbitraje - Centro de Arbitraje y Mediación de la Organización Mundial de la Propiedad Intelectual, OMPI, 1994 - Corte Internacional de Arbitraje y Conciliación Medioambiental - Tribunal de Arbitraje Deportivo, 1983 - Comisión de las Naciones Unidas para el Derecho Mercantil Internacional, CNUDMI, 1966 - Organización Mundial del Comercio, OMC1995."
DERECHO ARBITRAL,¿Qué deberá de contener la Demanda?,"El nombre completo, calidad en que intervienen y dirección de cada una de las partes - Una descripción de la naturaleza y circunstancias de la controversia que ha dado origen a la Demanda - Una indicación de las pretensiones y, en la medida de lo posible, de los montos reclamados - Los convenios pertinentes y, particularmente, el acuerdo de arbitraje - Toda indicación pertinente con relación al número de árbitros y su selección, así como la designación del árbitro que en ellos se requiera - Cualesquiera comentarios con relación a la sede del arbitraje, las normas jurídicas aplicables y el idioma del arbitraje. Además pagará el anticipo sobre gastos administrativos."
MEDIACIÓN,¿Qué es el CJA?,"El Centro de Justicia Alternativa (CJA) es una dependencia del Tribunal que cuenta con autonomía técnica y de gestión, y se instituye para administrar y substanciar los métodos alternos de solución de controversias, particularmente la mediación, para la atención de los conflictos de naturaleza civil, mercantil, familiar, penal y de justicia para adolescentes, entre particulares, así como para su desarrollo."
MEDIACIÓN,¿Es necesario tener abogado para participar en el procedimiento de mediación?,Los participantes acuden de manera personal y podrán ser asesorados en todo momento por su abogado particular de forma externa al Centro o servicio de mediación privada.
MEDIACIÓN,¿Cuánto cuesta el procedimiento de mediación?,"El servicio es gratuito si es el que se brinda en el Centro de Justicia Alternativa del Distrito Federal y si se contrata los servicios de una mediadora o mediador privados, se tendrá que convenir con ella o él el pago de sus honorarios."
MEDIACIÓN,¿Qué efectos tiene el convenio a que se llega en mediación?,"El convenio celebrado entre los mediados ante la fe pública del Mediador actuante, con las formalidades que señala la Ley de Justicia Alternativa del Tribunal Superior de Justicia para el Distrito Federal, será válido y exigible en sus términos, trayendo aparejada ejecución para su exigibilidad en vía de apremio ante la autoridad jurisdiccional. Por acuerdo de los mediados los convenios podrán ser anotados en el Registro Público de la Propiedad y del Comercio de conformidad con las leyes respectivas."
